,CellType,x_global,y_global
embryo1_Pos0_cell325_z2,Gut tube,1639.41376934272,1351.46905635407
embryo1_Pos0_cell326_z2,Lateral plate mesoderm,1639.59971440682,1335.0026930158
embryo1_Pos0_cell327_z2,Gut tube,1639.18666872364,1353.97851113161
embryo1_Pos0_cell328_z2,Gut tube,1639.28802467375,1358.47768262084
embryo1_Pos0_cell329_z2,Gut tube,1639.10239771793,1359.75550215872
embryo1_Pos0_cell33_z2,Endothelium,1619.11547731592,1346.82463924773
embryo1_Pos0_cell330_z2,Lateral plate mesoderm,1639.85180775288,1344.11815127153
embryo1_Pos0_cell331_z2,Lateral plate mesoderm,1639.60688603389,1349.46269540309
embryo1_Pos0_cell332_z2,Lateral plate mesoderm,1639.82137502751,1337.17547445044
embryo1_Pos0_cell333_z2,Lateral plate mesoderm,1640.03344837788,1340.4543067741
embryo1_Pos0_cell334_z2,Gut tube,1639.64998258577,1357.49466134451
embryo1_Pos0_cell335_z2,Lateral plate mesoderm,1639.64854797704,1330.44479557655
embryo1_Pos0_cell336_z2,Lateral plate mesoderm,1639.73518337674,1346.85286277488
embryo1_Pos0_cell337_z2,Lateral plate mesoderm,1640.44428274485,1346.04009771081
embryo1_Pos0_cell338_z2,Lateral plate mesoderm,1639.93412777317,1332.52181559061
embryo1_Pos0_cell339_z2,Gut tube,1640.0504366879,1352.22476837568
embryo1_Pos0_cell34_z2,Lateral plate mesoderm,1619.52149021999,1352.33322407703
embryo1_Pos0_cell340_z2,Gut tube,1639.8415788923,1354.81297084263
embryo1_Pos0_cell341_z2,Lateral plate mesoderm,1640.28201737713,1335.93639290146
embryo1_Pos0_cell342_z2,Gut tube,1640.32926860609,1359.57134759914
embryo1_Pos0_cell345_z2,Gut tube,1640.09287618394,1358.7511622602
embryo1_Pos0_cell346_z2,Gut tube,1640.42441966573,1355.3888343686
embryo1_Pos0_cell347_z2,Gut tube,1640.15100585937,1353.92159830729
embryo1_Pos0_cell349_z2,Gut tube,1640.48707978949,1356.46781312538
embryo1_Pos0_cell35_z2,Blood progenitors,1619.52800930814,1345.49644610431
embryo1_Pos0_cell350_z2,Lateral plate mesoderm,1640.63492036202,1348.80255900638
embryo1_Pos0_cell351_z2,Haematoendothelial progenitors,1641.0056060791,1350.30531005859
embryo1_Pos0_cell353_z2,Lateral plate mesoderm,1641.26120977887,1347.51524292682
embryo1_Pos0_cell354_z2,Lateral plate mesoderm,1641.00408735948,1337.84454629343
embryo1_Pos0_cell355_z2,Gut tube,1641.17894522807,1352.92323501103
embryo1_Pos0_cell356_z2,Lateral plate mesoderm,1641.46430441273,1341.09507281517
embryo1_Pos0_cell357_z2,Lateral plate mesoderm,1640.94197591146,1343.15340169271
embryo1_Pos0_cell358_z2,Gut tube,1640.9356009214,1358.54127094764
embryo1_Pos0_cell36_z2,Endothelium,1619.35183817772,1349.61299143496
